File,C_th_J_K,hA_W_K,T_amb_C,R_ohm,RMSE_C,MAE_C,R2,MaxErr_C,MAPE_pct
00003.csv,62.1,0.038033,4.892,0.08,0.5728,0.4693,0.7188,1.5402,7.6662
00006.csv,62.1,0.050308,4.711,0.08,0.8224,0.6783,0.5805,2.3131,10.4559
00008.csv,62.1,0.047424,4.556,0.08,0.8413,0.701,0.5302,2.2522,11.1495
00010.csv,62.1,0.05053,4.591,0.08,0.8623,0.7226,0.504,2.3925,11.4852
00012.csv,62.1,0.044847,4.314,0.08,0.9715,0.7931,0.4805,2.8131,12.7056
00015.csv,62.1,0.032608,4.57,0.08,0.7372,0.6024,0.5295,1.9879,10.1435
00019.csv,62.1,0.033053,4.755,0.08,0.6502,0.5371,0.5718,1.6679,8.9618
00022.csv,62.1,0.054006,4.927,0.08,0.8561,0.6959,0.4197,2.85,10.7629
00024.csv,62.1,0.046191,4.83,0.08,0.7364,0.6162,0.5608,2.2181,9.7611
00026.csv,62.1,0.051999,4.877,0.08,0.8165,0.6607,0.4755,2.7454,10.3103
00028.csv,62.1,0.043215,4.74,0.08,0.7048,0.5883,0.6278,1.9332,9.4079
00031.csv,62.1,0.02698,4.666,0.08,0.6289,0.5194,0.5905,1.6466,8.6763
00035.csv,62.1,0.02993,4.759,0.08,0.6084,0.5043,0.669,1.4391,8.2722
00038.csv,62.1,0.048744,4.87,0.08,0.7179,0.5961,0.5807,2.2739,9.4172
00040.csv,62.1,0.045838,4.801,0.08,0.7541,0.6259,0.5491,2.3549,9.8996
00042.csv,62.1,0.042503,4.77,0.08,0.7133,0.5986,0.6335,2.0442,9.5085
00044.csv,62.1,0.04123,4.683,0.08,0.7579,0.6273,0.5481,2.1551,10.0791
00047.csv,62.1,0.025289,4.555,0.08,0.6936,0.5763,0.5497,1.696,9.7
00050.csv,62.1,0.043488,4.623,0.08,0.8453,0.6907,0.435,2.5882,11.1202
00052.csv,62.1,0.02132,4.265,0.08,0.7898,0.6544,0.3306,1.9849,11.7958
00054.csv,62.1,0.035846,4.521,0.08,0.7524,0.6168,0.5613,1.9811,10.3168
00056.csv,62.1,0.040007,4.704,0.08,0.7555,0.6203,0.535,2.2017,9.9825
00059.csv,62.1,0.020766,4.672,0.08,0.7528,0.5911,0.3954,2.1561,9.6537
00062.csv,62.1,0.041262,4.725,0.08,0.7473,0.6122,0.5175,2.3235,9.8905
00064.csv,62.1,0.03749,4.65,0.08,0.6867,0.5677,0.6197,1.8266,9.3631
00066.csv,62.1,0.040277,4.591,0.08,0.8141,0.6697,0.4594,2.4448,10.9575
00068.csv,62.1,0.04228,4.622,0.08,0.8453,0.6955,0.4042,2.5423,11.3515
00071.csv,62.1,0.024312,4.46,0.08,0.7203,0.5981,0.489,1.8121,10.3474
00074.csv,62.1,0.039422,4.554,0.08,0.8191,0.6721,0.4876,2.3539,10.9887
00076.csv,62.1,0.035608,4.7,0.08,0.6759,0.5546,0.6073,1.7645,9.2448
00078.csv,62.1,0.038131,4.705,0.08,0.6891,0.5694,0.6066,1.7611,9.4214
00080.csv,62.1,0.039813,4.689,0.08,0.7415,0.614,0.5426,2.0362,9.9967
00083.csv,62.1,0.023891,4.698,0.08,0.5948,0.4941,0.5792,1.6108,8.3542
00087.csv,62.1,0.027994,4.884,0.08,0.6141,0.5108,0.5973,1.5897,8.4188
00090.csv,62.1,0.035141,4.745,0.08,0.6497,0.5283,0.6519,1.6794,8.6877
00092.csv,62.1,0.036319,4.456,0.08,0.837,0.687,0.4993,2.3298,11.2875
00094.csv,62.1,0.038308,4.762,0.08,0.6843,0.5699,0.6311,1.8853,9.2481
00096.csv,62.1,0.044104,4.797,0.08,0.8117,0.6554,0.4648,2.6919,10.3848
00099.csv,62.1,0.021531,4.835,0.08,0.6607,0.5341,0.4795,1.8419,8.6897
00102.csv,62.1,0.043735,4.748,0.08,0.8664,0.6989,0.3619,2.7995,11.089
00104.csv,62.1,0.034582,4.492,0.08,0.8148,0.6702,0.514,2.1487,11.0728
00106.csv,62.1,0.043694,4.685,0.08,0.8493,0.7054,0.4291,2.4328,11.3673
00108.csv,62.1,0.041534,4.607,0.08,0.9067,0.7442,0.348,2.7165,11.9929
00111.csv,62.1,0.021657,4.606,0.08,0.6604,0.5492,0.4769,1.6312,9.3745
00114.csv,62.1,0.042987,4.747,0.08,0.7602,0.6354,0.5233,1.9457,10.3814
00116.csv,62.1,0.037801,4.576,0.08,0.7898,0.649,0.5013,2.3351,10.7354
00118.csv,62.1,0.035998,4.682,0.08,0.6936,0.5723,0.6021,1.8022,9.3976
00120.csv,62.1,0.044584,4.578,0.08,0.9372,0.7688,0.3305,2.7896,12.3542
00123.csv,62.1,0.019529,4.53,0.08,0.6688,0.5587,0.4536,1.6812,9.6492
00126.csv,62.1,0.0396,4.725,0.08,0.7312,0.6041,0.5815,2.031,9.9062
00128.csv,62.1,0.039444,4.602,0.08,0.802,0.6695,0.5299,2.0177,10.9882
00130.csv,62.1,0.035761,4.574,0.08,0.7998,0.6602,0.5348,1.9796,10.9104
00132.csv,62.1,0.035869,4.519,0.08,0.8012,0.6535,0.5474,2.1852,10.7997
00135.csv,62.1,0.020564,4.666,0.08,0.6319,0.5271,0.4335,1.6333,9.1073
00139.csv,62.1,0.02021,4.676,0.08,0.7368,0.6065,0.4483,1.9452,10.0211
00142.csv,62.1,0.032481,4.597,0.08,0.7592,0.6176,0.6051,1.8877,10.1113
00144.csv,62.1,0.040031,4.815,0.08,0.7395,0.6162,0.6166,1.8786,9.8741
00146.csv,62.1,0.044648,5.105,0.08,0.6332,0.5305,0.7171,1.6471,8.1956
00148.csv,62.1,0.050225,5.294,0.08,0.6617,0.5428,0.7008,2.1485,8.0162
00151.csv,62.1,0.026137,5.321,0.08,0.4507,0.3708,0.7231,1.188,5.7683
00155.csv,62.1,0.023335,5.275,0.08,0.5403,0.4281,0.6397,1.6755,6.5116
00160.csv,62.1,0.045586,5.311,0.08,0.5174,0.4344,0.7989,1.2388,6.5638
00164.csv,62.1,0.053589,5.31,0.08,0.6445,0.5192,0.7068,2.2526,7.6869
00167.csv,62.1,0.011715,5.086,0.08,0.528,0.4106,0.2631,1.6151,6.7857
00171.csv,62.1,0.02309,5.282,0.08,0.6003,0.4613,0.5824,1.8408,6.9302
00174.csv,62.1,0.045702,5.327,0.08,0.5458,0.4612,0.7869,1.3068,6.9327
00176.csv,62.1,0.047902,5.283,0.08,0.5614,0.4744,0.7921,1.5281,7.1301
00178.csv,62.1,0.045737,5.317,0.08,0.5401,0.4516,0.7964,1.3579,6.7882
00180.csv,62.1,0.050802,5.277,0.08,0.6601,0.5468,0.7146,2.127,8.1043
00183.csv,62.1,0.021186,5.29,0.08,0.5915,0.4532,0.5498,1.8004,6.8266
