File,AvgVoltage,AvgCurrent,MaxTemp,CycleCapacity_Ah,Cycle
00003.csv,4.193520837869666,0.5207924895446029,8.793624097800858,1.540612210553491e-09,1
00006.csv,4.187504197003788,0.5186862418251199,10.1455937779198,1.5368492253008082e-09,2
00008.csv,4.189655069774906,0.5135277214530581,9.371285850326036,1.5204824829127765e-09,3
00010.csv,4.191917514720392,0.5073739203979963,9.599392228576075,1.5026780449581725e-09,4
00012.csv,4.193113417930489,0.5012755481230531,9.977435052651424,1.485819701183073e-09,5
00015.csv,4.199479900529841,0.4945772130097396,8.878068239463989,1.4663447436366528e-09,6
00019.csv,4.1962997977090115,0.494706079124223,8.54999351511764,1.4723818702585056e-09,7
00022.csv,4.194434606990872,0.49180738874380264,9.9149863999085,1.4576149131759369e-09,8
00024.csv,4.195194011746863,0.4844742944222571,8.87729954678877,1.4358901184615109e-09,9
00026.csv,4.1966368623707435,0.47923234254481456,9.792328297818012,1.4204209517764777e-09,10
00028.csv,4.198462571285532,0.4733439927815017,8.793395853031353,1.405717900460752e-09,11
00031.csv,4.201236264948579,0.4666393276247713,8.489081034047558,1.388091920149549e-09,12
00035.csv,4.2009472311598515,0.4879871428002954,8.875067965433193,1.4492578758109246e-09,13
00038.csv,4.197851110146361,0.48034924901333614,9.0113162300133,1.427338023994008e-09,14
00040.csv,4.198680988504506,0.4725750834617734,9.117837502841068,1.4052491685636767e-09,15
00042.csv,4.199128153383965,0.4680286080585239,9.008870688771184,1.3903621526431146e-09,16
00044.csv,4.199490357046566,0.4605810915035159,8.775487596967912,1.3699288039367803e-09,17
00047.csv,4.204909593983731,0.4535761631204663,8.527927995096366,1.3491442157558607e-09,18
00050.csv,4.200687492197155,0.4526769344869139,9.25658691248093,1.3451243861702074e-09,19
00052.csv,4.20790150879879,0.23605671456748792,8.229513715800891,7.013637087775649e-10,20
00054.csv,4.201675684962224,0.44486137547137466,8.682117686665979,1.3230235634705709e-09,21
00056.csv,4.201116653934024,0.4412040962296821,8.807432989820063,1.3136307008472616e-09,22
00059.csv,4.205978517025572,0.43499088545599207,8.672791913113644,1.2988401060553695e-09,23
00062.csv,4.202742782656665,0.43490898788858456,8.749810595907697,1.2958684826935923e-09,24
00064.csv,4.201912739780461,0.43298798046986015,8.66228512118762,1.2875487019965457e-09,25
00066.csv,4.202580692565229,0.42691483753993426,9.019728113451215,1.2719009335248365e-09,26
00068.csv,4.203217812606892,0.4228666013470354,9.116016163768313,1.2601737374810774e-09,27
00071.csv,4.206994473886876,0.4184424376066384,8.576939986227508,1.2498543968155512e-09,28
00074.csv,4.204168206769557,0.42022405817243713,9.125952057926662,1.2515880337378012e-09,29
00076.csv,4.204667229142807,0.4175325417433043,8.913521508673037,1.2434125944934044e-09,30
00078.csv,4.204367360369479,0.4144175704363852,8.992670910674468,1.2341629443301599e-09,31
00080.csv,4.204504370872263,0.40959448864733505,8.976466972713451,1.2204734119480886e-09,32
00083.csv,4.207446252928076,0.40532182824979124,8.403683675857872,1.2118454962580263e-09,33
00087.csv,4.206037628675572,0.43929786190494213,8.788041070938254,1.3109645346523052e-09,34
00090.csv,4.203138999754099,0.43565859176157645,8.996273749783748,1.2967823794116713e-09,35
00092.csv,4.203170749305455,0.4218901947759101,8.968773510126884,1.271473562594005e-09,36
00094.csv,4.203630851563333,0.42346608356142046,9.068457233547,1.2605426967316004e-09,37
00096.csv,4.203986330280333,0.4170090691373015,9.600388701677394,1.244184884173864e-09,38
00099.csv,4.207435158926691,0.4095500330776799,8.576341354197764,1.2233852487938278e-09,39
00102.csv,4.204698328773422,0.4117439928891505,9.684286179234707,1.2272748993336133e-09,40
00104.csv,4.204367303680974,0.40871700722048915,9.050797354590737,1.2191125466945645e-09,41
00106.csv,4.204275467629636,0.4036908682874204,9.672640844666988,1.2031222498083612e-09,42
00108.csv,4.204794193389337,0.4003799802682961,9.672917525535627,1.194329932187946e-09,43
00111.csv,4.207763160123214,0.39572176787776997,8.275505407411664,1.1828748293089784e-09,44
00114.csv,4.204663022683801,0.3944938251009059,9.244232741743328,1.1884298174076716e-09,45
00116.csv,4.204118743898251,0.3938139126759178,8.98886237250283,1.1732170588035159e-09,46
00118.csv,4.20472704038015,0.3939139927877681,8.764404412635383,1.174715643275812e-09,47
00120.csv,4.204572560055919,0.39116270637119727,10.248920981212065,1.1674753977260143e-09,48
00123.csv,4.20767761396186,0.3844244564720974,8.050593138909571,1.1534607334194402e-09,49
00126.csv,4.204815660377147,0.39264191172930335,9.051801996945862,1.170604307931378e-09,50
00128.csv,4.205053049520213,0.3862489147687038,9.434354469842534,1.1520766496314004e-09,51
00130.csv,4.205041577039904,0.38630552967130444,8.999904872354442,1.1523006492981871e-09,52
00132.csv,4.20561473310598,0.38156263680825747,9.182460296652252,1.1380150266630173e-09,53
00135.csv,4.209217970592571,0.33603902761480514,8.087782069116129,1.0051353795148679e-09,54
00139.csv,4.207338855887127,0.4108151593496313,8.597670678653154,1.2276893695776155e-09,55
00142.csv,4.203981854664121,0.4120912013715052,9.23195987630668,1.229577675930481e-09,56
00144.csv,4.203712316563817,0.4076340489564568,9.283964087662714,1.2169972035608556e-09,57
00146.csv,4.203623701422697,0.40324846094601485,9.913959079053493,1.2018466733863329e-09,58
00148.csv,4.203644585648088,0.401385119281649,11.008944870597244,1.196429299367397e-09,59
00151.csv,4.207715020355373,0.3942386493471108,8.769234212566106,1.1785086479263902e-09,60
00155.csv,4.207768529758282,0.4014493829496118,8.64547621512964,1.2027641842690048e-09,61
00160.csv,4.203607285270917,0.3977050242777862,10.025147602426648,1.186812659249981e-09,62
00164.csv,4.204300191671364,0.3911574810921054,11.272328278958131,1.1679866189325193e-09,63
00167.csv,4.2101371527025035,0.1974650504200389,7.90509798766143,5.911407060278778e-10,64
00171.csv,4.207273394827042,0.4111298417467497,8.855451661928804,1.228703599177499e-09,65
00174.csv,4.2030107758477655,0.41224736834053066,10.0303131074292,1.2306413310866313e-09,66
00176.csv,4.2030576073039265,0.40696591798537773,10.54811102432876,1.215032808044091e-09,67
00178.csv,4.203420431681314,0.4036938719445324,10.171183334420576,1.204316402045128e-09,68
00180.csv,4.203391763081669,0.3993841793905051,11.150433415617073,1.1922647687017112e-09,69
00183.csv,4.208013207373918,0.3927737393118241,8.682783567615884,1.1762255403490658e-09,70
